"Nombre del autor","Nombre de la obra en inglés o idioma original","Versión en Español"
"John Irving","The Cider House Rules","Príncipes de Maine, reyes de Nueva Inglaterra"
"John Irving","The World According to Garp","El mundo según Garp"
"John Kennedy Toole","A Confederacy of Dunces","La conjura de los necios"
"John Kennedy Toole","The Neon Bible","La Biblia de neón"
"John le Carré","The Spy Who Came in from the Cold","El espía que surgió del frío"
"John le Carré","Tinker Tailor Soldier Spy","El topo"
"John Steinbeck","Of Mice and Men","De ratones y hombres"
"John Steinbeck","The Grapes of Wrath","Las uvas de la ira"
"John Updike","Rabbit, Run","Corre, Conejo"
"John Updike","The Witches of Eastwick","Las brujas de Eastwick"
"Jonathan Franzen","Freedom","Libertad"
"Jonathan Franzen","The Corrections","Las correcciones"
"Jonathan Swift","A Modest Proposal","Una modesta proposición"
"Jonathan Swift","Gulliver's Travels","Los viajes de Gulliver"
"Joseph Conrad","Heart of Darkness","El corazón de las tinieblas"
"Joseph Conrad","Lord Jim","Lord Jim"
"Joseph Heller","Catch-22","Trampa-22"
"Joseph Heller","God Knows","Dios sabe"
"Juan Carlos Onetti","El astillero","El astillero"
"Juan Carlos Onetti","Juntacadáveres","Juntacadáveres"
"Julio Cortázar","Bestiario","Bestiario"
"Julio Cortázar","Rayuela","Rayuela"
"Junot Díaz","Drown","Los boys"
"Junot Díaz","The Brief Wondrous Life of Oscar Wao","La maravillosa vida breve de Óscar Wao"
"Ken Follett","Eye of the Needle","La isla de las tormentas"
"Ken Follett","The Pillars of the Earth","Los pilares de la Tierra"
"Kenneth Roberts","Arundel",""
"Kenneth Roberts","Northwest Passage","Paso del Noroeste"
"Khaled Hosseini","A Thousand Splendid Suns","Mil soles espléndidos"
"Khaled Hosseini","The Kite Runner","Cometas en el cielo"
"Kurt Vonnegut","Cat's Cradle","Cuna de gato"
"Kurt Vonnegut","Slaughterhouse-Five","Matadero cinco"
"Lafcadio Hearn","Glimpses of Unfamiliar Japan",""
"Lafcadio Hearn","Kwaidan","Kwaidan"
"Laura Numeroff","If You Give a Moose a Muffin","Si le das un panecillo a un alce"
"Laura Numeroff","If You Give a Mouse a Cookie","Si le das una galletita a un ratón"
"Laurie Halse Anderson","Catalyst",""
"Laurie Halse Anderson","Speak","Habla"
"Lee Child","Die Trying","Morir en el intento"
"Lee Child","Killing Floor","Zona peligrosa"
"Lemony Snicket","A Series of Unfortunate Events","Una serie de catastróficas desdichas"
"Lemony Snicket","All the Wrong Questions","Todas las preguntas equivocadas"
"Leo Tolstoy","Anna Karenina","Ana Karenina"
"Leo Tolstoy","War and Peace","Guerra y paz"
"Lewis Carroll","Alice's Adventures in Wonderland","Alicia en el país de las maravillas"
"Lewis Carroll","Through the Looking-Glass","A través del espejo"
"Lisa See","Shanghai Girls","Las hijas de Shanghái"
"Lisa See","Snow Flower and the Secret Fan","El abanico de seda"
"Lois Lowry","Number the Stars","¿Quién cuenta las estrellas?"
"Lois Lowry","The Giver","El dador"
"Louis Sachar","Holes","Hoyos"
"Louis Sachar","Sideways Stories from Wayside School",""
"Lydia Maria Child","An Appeal in Favor of that Class of Americans Called Africans",""
"Lydia Maria Child","Hobomok: A Tale of Early Times",""
"Lydia Sigourney","Letters to Mothers",""
"Lydia Sigourney","Pocahontas and Other Poems",""
"Madeleine L’Engle","A Wind in the Door",""
"Madeleine L’Engle","A Wrinkle in Time","Una arruga en el tiempo"
"Margaret Atwood","Cat's Eye","Ojo de gato"
"Margaret Atwood","The Handmaid's Tale","El cuento de la criada"
"Margaret Mitchell","Gone with the Wind","Lo que el viento se llevó"
"Margaret Mitchell","Lost Laysen","Laysen, la isla perdida"
"Marion Zimmer Bradley","The Door Through Space","La puerta del espacio"
"Marion Zimmer Bradley","The Mists of Avalon","Las nieblas de Avalón"
"Mark Twain","Adventures of Huckleberry Finn","Las aventuras de Huckleberry Finn"
"Mark Twain","The Adventures of Tom Sawyer","Las aventuras de Tom Sawyer"
"Markus Zusak","The Book Thief","La ladrona de libros"
"Markus Zusak","The Underdog",""
"Mary Shelley","Frankenstein; or, The Modern Prometheus","Frankenstein o el moderno Prometeo"
"Mary Shelley","The Last Man","El último hombre"
"Maurice Sendak","In the Night Kitchen","La cocina de noche"
"Maurice Sendak","Where the Wild Things Are","Donde viven los monstruos"
"Maya Angelou","And Still I Rise","Y aun así me levanto"
"Maya Angelou","I Know Why the Caged Bird Sings","Yo sé por qué canta el pájaro enjaulado"
"Miguel de Cervantes","Don Quijote de la Mancha, segunda parte","Don Quijote de la Mancha, segunda parte"
"Miguel de Cervantes","Don Quixote","Don Quijote de la Mancha"
"Miguel de Cervantes","Exemplary Novels","Novelas ejemplares"
"Miguel de Cervantes","Novelas ejemplares","Novelas ejemplares"
"Munro Leaf","The Story of Ferdinand","El cuento de Ferdinando"
"Munro Leaf","Wee Gillis",""
"Neal Stephenson","Cryptonomicon","Criptonomicón"
"Neal Stephenson","Snow Crash","Snow Crash"
"Neil Gaiman","American Gods","American Gods"
"Neil Gaiman","The Sandman","The Sandman"
"Nicholas Sparks","A Walk to Remember","Un paseo para recordar"
"Nicholas Sparks","The Notebook","El diario de Noah"
"Nora Roberts","Naked in Death","Desnuda ante la muerte"
"Nora Roberts","The Bride Quartet","Cuarteto de novias"
"Norman Collins","Bond Street Story",""
"Norman Collins","London Belongs to Me","Londres me pertenece"
"Norman Mailer","The Executioner’s Song","La canción del verdugo"
"Norman Mailer","The Naked and the Dead","Los desnudos y los muertos"
"Norton Juster","The Dot and the Line","El punto y la línea"
"Norton Juster","The Phantom Tollbooth","La cabina mágica"
"Octavia E. Butler","Kindred","Parentesco"
"Octavia E. Butler","Lilith's Brood","La estirpe de Lilith"
"Oliver Bell Bunce","Bachelor Bluff",""
"Oliver Bell Bunce","The Romance of the Revolution",""
"Orson Scott Card","Ender’s Game","El juego de Ender"
"Orson Scott Card","Speaker for the Dead","La voz de los muertos"
"Oscar Wilde","The Importance of Being Earnest","La importancia de llamarse Ernesto"
